dish,type
Chicken curry,non-veg
Spicy fish curry,non-veg
Egg curry,non-veg
Butter turkey,non-veg
Fish curry,non-veg
Turkey kurma,non-veg
Chicken fry masala,non-veg
Chicken tikka masala,non-veg
Pepper chicken masala,non-veg
Shrimp curry,non-veg
Cranberry fish,non-veg
Sesame chicken,non-veg
Almond chicken,non-veg
Fish molee,non-veg
Shahi mutton,non-veg
Curd chicken,non-veg
palak paneer,veg
dal makhni,veg
Shahi paneer,veg
chole,veg
jalebi,veg
rajma rice,veg
paneer tikka,veg
